id,consolidation_date,project_aging,weeks_to_deadline,population_start_date,population_end_date,project_id,demands_ids,demands_lead_times,demands_lead_times_average,demands_lead_times_std_dev,lead_time_min,lead_time_max,total_range,lead_time_histogram_bin_min,lead_time_histogram_bin_max,histogram_range,lead_time_p25,lead_time_p75,interquartile_range,last_throughput_per_week_data,last_lead_time_p80,wip_limit,current_wip,project_monte_carlo_weeks_p80,team_monte_carlo_weeks_p80,flow_pressure,flow_pressure_percentage,customer_happiness
1,2019-01-06,5,26,2018-11-14,2019-01-31,139,"[4067, 4068, 4069, 4083, 4085, 4089, 4228, 4078, 4097, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 4164, 4165, 4168, 4176, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4071, 4132, 4243, 4172]","[1716376.139, 713757.274, 585771.119, 0.0, 17729.548, 1311.535, 669546.883, 2101.26, 1003.316, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 615824.382, 955633.559, 2790.111, 8053.523, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 974655.19, 3223.78, 100902.974, 7738.07]",541028.513857143,1037453.56904516,208.956,3745861.331,3745652.375,312155.110916667,3433706.22008333,3121551.10916667,2074.91,611971.5095,609896.5995,[0],718894.39975,0,3,0.0,1.0,0.0170414201183432,0.0428571428571429,0.0
2,2019-01-13,12,25,2018-11-14,2019-01-31,139,"[4067, 4068, 4069, 4083, 4085, 4089, 4228, 4078, 4097, 4108, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 4164, 4165, 4168, 4176, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4071, 4132, 4128, 4243, 4172]","[1716376.139, 713757.274, 585771.119, 0.0, 17729.548, 1311.535, 669546.883, 2101.26, 1003.316, 5377.935, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 615824.382, 955633.559, 2790.111, 8053.523, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 974655.19, 3223.78, 359072.807, 100902.974, 7738.07]",521633.749378378,1012431.73276608,208.956,974655.19,974446.234,312155.110916667,3433706.22008333,3121551.10916667,2101.26,608118.637,606017.377,"[0, 2]",295545.83425,0,3,5.0,1.0,0.0177471037712596,0.0410958904109589,5.0
3,2019-01-20,19,24,2018-11-14,2019-02-20,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 4228, 4078, 4107, 4097, 4108, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 4164, 4165, 4168, 4176, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4071, 4070, 4060, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 669546.883, 2101.26, 958531.94, 1003.316, 5377.935, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 615824.382, 955633.559, 2790.111, 8053.523, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 974655.19, 433378.349, 23915.645, 3223.78, 359072.807, 100902.974, 7738.07]",534328.520976744,962164.524979983,3223.78,974655.19,971431.41,267561.523642857,3478299.80735714,3210738.28371429,2447.677,613848.7955,611401.1185,"[0, 2, 1]",276666.634375,0,4,8.0,1.0,0.0370275134996143,0.0882352941176471,3.0
4,2019-01-27,26,23,2018-11-14,2019-02-20,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 4228, 4078, 4107, 4097, 4108, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 4164, 4165, 4168, 4176, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4071, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 669546.883, 2101.26, 958531.94, 1003.316, 5377.935, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 615824.382, 955633.559, 2790.111, 8053.523, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 974655.19, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",522297.423652174,934511.374555206,3223.78,789382.988,786159.208,267561.523642857,3478299.80735714,3210738.28371429,2759.4075,614836.58875,612077.18125,"[0, 2, 1, 7]",193051.04525,0,3,5.0,1.0,0.0322493953238377,0.0757575757575758,4.6
5,2019-02-03,33,22,2018-11-14,2019-02-25,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 4228, 4078, 4107, 4097, 4108, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 4164, 4165, 4168, 4176, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4021, 4020, 4023, 4022, 4071, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 669546.883, 2101.26, 958531.94, 1003.316, 5377.935, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 615824.382, 955633.559, 2790.111, 8053.523, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 1802669.64, 1113269.535, 2165732.741, 2077860.071, 974655.19, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",623704.2695,967788.414370132,3223.78,789382.988,786159.208,267561.523642857,3478299.80735714,3210738.28371429,2898.52825,770476.5595,767578.03125,"[0, 2, 1, 7, 5]",193051.04525,0,2,2.0,1.0,0.0135097101041373,0.0285714285714286,11.0
6,2019-02-10,40,21,2018-11-14,2019-02-25,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 4228, 4078, 4107, 4097, 4108, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 4164, 4165, 4168, 4176, 3977, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4002, 4003, 4021, 4020, 4023, 4022, 4071, 3996, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 669546.883, 2101.26, 958531.94, 1003.316, 5377.935, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 615824.382, 955633.559, 2790.111, 8053.523, 454972.334, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 780.01, 84438.708, 1802669.64, 1113269.535, 2165732.741, 2077860.071, 974655.19, 70786.049, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",588818.344,940106.55595256,3223.78,789382.988,786159.208,267561.523642857,3478299.80735714,3210738.28371429,2898.52825,702704.67625,699806.148,"[0, 2, 1, 7, 5, 4]",193051.04525,0,4,0.0,0.0,0.0,0.0,0.0
7,2019-02-17,47,20,2018-11-14,2019-02-25,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 4228, 4078, 4107, 4097, 4108, 4143, 4147, 4141, 4142, 4156, 4154, 4163, 3967, 4164, 4165, 4168, 4176, 3977, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4002, 4003, 4021, 4020, 4023, 4022, 4071, 3996, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 669546.883, 2101.26, 958531.94, 1003.316, 5377.935, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 15475.163, 238359.983, 615824.382, 955633.559, 2790.111, 8053.523, 454972.334, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 780.01, 84438.708, 1802669.64, 1113269.535, 2165732.741, 2077860.071, 974655.19, 70786.049, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",582446.3738,932559.260250326,3223.78,789382.988,786159.208,267561.523642857,3478299.80735714,3210738.28371429,3006.9455,691652.0785,688645.133,"[0, 2, 1, 7, 5, 4, 1]",193051.04525,0,5,0.0,0.0,0.0,0.0,0.0
8,2019-02-24,54,19,2018-11-14,2019-04-03,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 3806, 3807, 3808, 4228, 3713, 4078, 3717, 4107, 4097, 4108, 3832, 4143, 4147, 4141, 4142, 4156, 4154, 3817, 4163, 3967, 4164, 4165, 4168, 4176, 3977, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4002, 4003, 4021, 4020, 4023, 4022, 3834, 4071, 3714, 3996, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 0.0, 0.0, 0.0, 669546.883, 0.0, 2101.26, 178968.619, 958531.94, 1003.316, 5377.935, 789479.977, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 3525126.454, 15475.163, 238359.983, 615824.382, 955633.559, 2790.111, 8053.523, 454972.334, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 780.01, 84438.708, 1802669.64, 1113269.535, 2165732.741, 2077860.071, 161376.574, 974655.19, 705964.142, 70786.049, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",584304.161328125,954324.656881641,3223.78,789382.988,786159.208,234116.3331875,3511744.9978125,3277628.664625,2598.425,707912.425,705314.0,"[0, 2, 1, 7, 5, 4, 1, 4]",193051.04525,0,5,3.0,1.0,0.0393700787401575,0.0515463917525773,6.33333333333333
9,2019-03-03,61,18,2018-11-14,2019-04-03,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 3806, 3807, 3808, 4228, 3815, 3713, 3818, 3819, 4078, 3717, 4107, 4097, 4108, 3832, 4143, 4147, 4141, 4142, 4156, 4154, 3817, 4163, 3967, 4164, 4165, 4168, 4176, 3977, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4002, 4003, 3809, 4021, 3835, 4020, 4023, 4022, 3834, 4071, 3714, 3996, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 0.0, 0.0, 0.0, 669546.883, 19217.256, 0.0, 1909375.344, 1215453.664, 2101.26, 178968.619, 958531.94, 1003.316, 5377.935, 789479.977, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 3525126.454, 15475.163, 238359.983, 615824.382, 955633.559, 2790.111, 8053.523, 454972.334, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 780.01, 84438.708, 760537.544, 1802669.64, 248718.213, 1113269.535, 2165732.741, 2077860.071, 161376.574, 974655.19, 705964.142, 70786.049, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",602156.062985507,939113.417454723,3223.78,789382.988,786159.208,234116.3331875,3511744.9978125,3277628.664625,2790.111,760537.544,757747.433,"[2, 1, 7, 5, 4, 1, 4, 7]",193051.04525,0,2,3.0,1.0,0.0666666666666667,0.0824742268041237,5.62499999999999
10,2019-03-10,68,17,2018-11-14,2019-04-03,139,"[4066, 4067, 4068, 4069, 4072, 4083, 4085, 4089, 4076, 3806, 3807, 3808, 4228, 3815, 3713, 3818, 3819, 4078, 3717, 4107, 4097, 4108, 3832, 4143, 4147, 4141, 4142, 4156, 4154, 3817, 4163, 3967, 4164, 4165, 4168, 4176, 3977, 4170, 4171, 4184, 4196, 4195, 4209, 4190, 4198, 4199, 4202, 4207, 4002, 4003, 3809, 4021, 3835, 4020, 4023, 4022, 3834, 4071, 3714, 3996, 4070, 4060, 4040, 4046, 4039, 4132, 4128, 4243, 4172]","[2146.181, 1716376.139, 713757.274, 585771.119, 1645832.351, 0.0, 17729.548, 1311.535, 611873.209, 0.0, 0.0, 0.0, 669546.883, 19217.256, 0.0, 1909375.344, 1215453.664, 2101.26, 178968.619, 958531.94, 1003.316, 5377.935, 789479.977, 651.189, 2048.56, 89129.424, 2749.173, 734.038, 3635626.947, 3525126.454, 15475.163, 238359.983, 615824.382, 955633.559, 2790.111, 8053.523, 454972.334, 102293.418, 506.615, 3532809.568, 199823.238, 22819.123, 290277.682, 0.0, 3745861.331, 208.956, 608118.637, 310446.26, 780.01, 84438.708, 760537.544, 1802669.64, 248718.213, 1113269.535, 2165732.741, 2077860.071, 161376.574, 974655.19, 705964.142, 70786.049, 433378.349, 23915.645, 256291.207, 789382.988, 3880.891, 3223.78, 359072.807, 100902.974, 7738.07]",602156.062985507,939113.417454723,3223.78,789382.988,786159.208,234116.3331875,3511744.9978125,3277628.664625,2790.111,760537.544,757747.433,"[1, 7, 5, 4, 1, 4, 7, 1]",193051.04525,0,3,4.0,1.0,0.0619469026548673,0.0804597701149425,4.25
